connection_name,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30
L-A22r - R-A10m,-0.0511323694408631,0.14546518234992167,0.1165659506037654,0.04358097521855886,-0.1219134080813191,-0.06285816896496357,-0.0482831543664579,-0.15096664579455008,-0.10307429812287,-0.138946489378715,-0.016272229875474484,0.12221482508653234,-0.0057389642412360425,-0.10336600931484967,0.09081305871562172,0.0053127892044419756,0.08134653002769869,0.12723439827627087,0.06583176314628104,0.024956246251570377,0.029141124369515926,-0.09782758065540943,-0.024138542177208427,0.07381953588474531,-0.1368700091449363,0.06233567270932309,-0.16504403232633727,0.12394637711547415,0.07523243239819272,0.20016180753995505
L-A22r - L-A11l,-0.08735505093058596,0.16479667336478665,0.02012808665985305,0.13517266834676506,0.011975192746621621,-0.17675868429183134,0.08945249661624796,0.06183235601644878,0.15524876924592168,-0.11754693056821111,0.1443265016340786,0.12065199371720767,0.009382639327112322,0.0564681172414003,-0.013130055882631636,-0.1127064051787714,0.05870765402184637,-0.04798674374920114,0.05986956797923271,0.1512591792603098,-0.040838053826134736,-0.040060353435197725,0.1458817665416106,0.09282605833297379,-0.09734538961505942,0.15431314085804235,0.0008798228595331414,0.018205888675856194,0.05466593031869883,0.15800626885366675
L-A22r - R-A13,-0.07699133169385151,0.06286321640212085,0.006731314697609514,0.0730464353711485,-0.03008080078524944,-0.13207134167475051,0.1236281356491486,0.09844529296480417,0.05129840356176135,-0.19043187389338706,0.06594241934060643,-0.005264066981144164,0.028991304658073633,0.0852032653239129,0.031207272462137267,0.08589003178007465,0.12705346675131984,0.1268814880405175,0.04180691922755371,0.07754660175643144,0.05624316901254715,-0.16055366213858796,-0.05687153327007367,0.08149339502267108,0.0821369474568352,0.10878602325320162,0.0928415517279917,0.021258620918839566,0.21952678196147124,0.08682239862093154
L-A22r - L-A38m,-0.08625666324872087,-0.0038246080413203484,0.018773944654613253,-0.08692901600973431,-0.029415389995848806,-0.1873345260735091,-0.05274953351857803,0.1524945753487318,-0.17992534151370573,-0.03246140840979055,0.10731806677770667,0.04417349558158176,-0.07273186244206156,0.05288186390075772,-0.08491800432313516,-0.04472580915701557,-0.06926791668737868,-0.09774074875058855,0.011649030353969192,-0.03834194545904741,0.05563008599017214,-0.022903864435837976,0.06995843279428565,0.03278709189312068,-0.005334639345299111,-0.01720200959212035,-0.009842161432353336,0.09459404446127637,0.10865743114899074,-0.11747334244594088
L-A22r - R-A22c,-0.06007836402470023,0.056320407454066516,0.0666551710114581,0.015207877261224932,-0.049201518793596744,0.019685818978970537,-0.006029590643562954,-0.028854627810947775,0.07708578246574133,-0.10549015043767215,0.09008490749978082,0.018827382175089613,-0.061271956665529995,0.03603642537539052,0.07114755731914843,0.046205397387583315,0.01815250922760031,0.12371500160973195,0.09258787846089618,-0.05107847334222296,0.03347040940120778,0.0966058605321062,0.0950530910511331,0.11561397272243638,0.04762015139675818,0.03920878995144364,-0.061087812414844386,-0.14538065238150072,0.11424465939952934,0.02290283948562856
L-vId/vIg - R-A10m,-0.06973013527808455,0.09821258164148726,0.06265998972542111,0.051923884427956216,-0.025472431081685898,0.037073836162990204,-0.11088744488561453,-0.17923059766743266,-0.012480730591971467,0.05816923913286431,0.16406781950891597,-0.12388507076756189,0.06629984642932737,0.13467382455219182,0.11673837780205087,0.0001645441426130212,-0.30180143180463015,0.04805394052559578,0.11597277421227162,-0.11350962542858131,0.10283827828394863,0.03254423941076482,-0.06579362037676048,0.031419769538809324,-0.00860043045339125,-0.07920738169107926,0.06552812003973671,-0.05588661566634579,-0.10058076832148888,-0.002219141519512635
L-vId/vIg - L-A11l,-0.09694489403423069,0.11266494755125635,0.08301500450015595,0.03501875517701028,0.06411895074117646,-0.014987137232648329,-0.0638619233065939,0.05245012520915668,0.16651694045967397,0.04941861661519237,-0.027822791743986275,-0.13737739672281893,0.02362134303174173,0.18295699980328572,-0.1028220048784161,-0.06869539384261047,-0.13202717030733147,-0.257303653015636,0.09415699737537028,-0.026599887784488394,0.01773261882836614,0.22203808681808587,-0.03493873556568239,0.0371621922020173,-0.09027011018703307,-0.09572593327745521,-0.04481378909778426,0.019868263902321957,-0.08711967496894073,0.09324703579070158
L-vId/vIg - R-A13,-0.08757086326675556,0.0801273966061764,0.06656620381879255,0.031825354826698724,0.023623848833966184,-0.015367976833412,-0.06749379923499106,0.09533348490569686,0.13226106108677235,0.0499883817657958,-0.06474736008960168,-0.19551198674235237,0.0588299041032299,0.14483133643077406,-0.11757867136796378,0.1553919398331627,-0.09620099719134115,-0.03473599161346205,-0.024198007675157243,-0.09019074009582348,0.1307135006887854,-0.07145991999908788,-0.10778039405614961,-0.1691559465560188,0.10349575060612506,-0.13823451725518046,-0.06643297237524796,0.0014125520030392538,-0.04402255497315217,0.07269516985860407
L-vId/vIg - L-A38m,-0.13893233911061764,0.048355545277468485,0.05429756551099786,-0.04059671588983523,0.04634706481379462,-0.0875497320417897,-0.18945306777349538,0.21340502459510302,-0.03540110797617069,0.09422150504540427,-0.05510521520219977,0.04492775417921631,-0.08733241093394749,-0.03209029433520928,-0.0691657046751216,-0.030238297646204212,-0.19171889571584338,0.04827160150750477,0.04161550099848253,0.1016782901679317,-0.005362389766059041,-0.18699026410088376,-0.04395962406837044,0.10435770425581416,-0.002806505700021847,-0.13881684848515824,0.11845265640902922,-0.06201151313243271,-0.07354715470225963,0.04005301917624275
L-vId/vIg - R-A22c,-0.06970290828026897,0.08422258246839842,0.08896828029521145,0.024797413599083714,-0.06724568739534252,0.037678677700939064,-0.06388741116753065,0.009908211073602884,0.13625308894528232,-0.07185985049293048,0.00046066626112192983,-0.0625296815727306,-0.11126817492353114,-0.04890974763163003,0.051255024900195886,-0.016168407917054976,-0.051643785261441165,-0.018884615296773474,0.02891865324777268,-0.21856650810386608,0.121547003899218,0.10348310493476748,0.047636069396196364,-0.2420908698696277,-0.14826472007046523,-0.07803405252625036,0.15528989924476586,0.16213291071432162,0.04084203037667738,-0.09919822245739973
L-vId/vIg - L-A22r,-0.0858065158444629,0.1141666232614849,0.13797998758199623,0.0912296050137774,-0.06390217424736476,0.04863140644812499,-0.06553240052032802,0.10974577598896584,0.17641129981455989,-0.1696285956013024,0.012145402219022008,0.012271374906401893,-0.006309658225156695,-0.0668270333474004,0.1753848971786794,-0.12711900061461856,-0.09731079273981938,0.12794012879342784,0.07796441971301647,-0.13067676460055805,0.035813745929410785,-0.12550417759590854,0.10004627500785904,-0.09955298061445475,-0.027904316425190964,-0.06794199294317166,-0.001435702785238184,0.01842141758561434,0.12984632620573416,0.198716400821134
R-vId/vIg - R-A10m,-0.06881764708896582,0.10970056129519187,0.015425623908043496,0.07481567863263512,-0.04518731281417553,0.019511104416327883,-0.11096889932552122,-0.17237123180029612,-0.0687593040634344,0.031186564067435682,0.1788494984492927,-0.08513932959680989,0.08555273185315575,0.0819208952674888,0.14744915421670102,0.009032529958403333,-0.10431110076748373,0.21022555241760932,0.044931700994500806,0.04422630264422793,0.02975368981369239,0.06508328259068302,0.03974737243338783,0.25118707519176064,0.06023744456231799,-0.08243097666258263,0.009820917213802127,-0.06973639710418847,-0.11060176453819458,-0.25814590865598425
